date,match,team1,team2,draw,team1_extra,team2_extra
2026-09-15,Zurich - Berne,1.88,2.75,5.5,2.35,3.44
2026-09-15,Davos - Langnau,1.81,2.93,5.5,2.26,3.67
2026-09-15,Lausanne - Zoug,1.92,2.68,5.5,2.4,3.35
2026-09-15,Bienne - Fribourg,2.58,1.97,5.5,3.23,2.46
2026-09-15,Ajoie - Ambri,2.36,2.12,5.5,2.95,2.65
2026-09-15,Lugano - Geneve,2.1,2.38,5.5,2.63,2.98
2026-09-15,Rapperswil - Kloten,1.89,2.73,5.5,2.36,3.41
2026-09-18,Langnau - Zurich,2.55,1.99,5.5,3.18,2.49
2026-09-18,Berne - Davos,2.64,1.94,5.5,3.3,2.42
2026-09-19,Davos - Zoug,1.84,2.85,5.5,2.3,3.56
2026-09-18,Fribourg - Lausanne,2.02,2.5,5.5,2.53,3.12
2026-09-18,Ambri - Rapperswil,2.54,2.0,5.5,3.17,2.5
2026-09-18,Geneve - Ajoie,1.71,3.23,5.5,2.14,4.04
2026-09-19,Bienne - Langnau,2.24,2.23,5.5,2.8,2.79
2026-09-18,Kloten - Lugano,2.56,1.98,5.5,3.2,2.48
