leg,journee,date,hour,match,win_type,score,available,winner
Playoffs,T2,27 mars 2026,,GRENOBLE - ANGERS,Regular Time,3-1,no,GRENOBLE
Playoffs,T2,28 mars 2026,,ROUEN - BORDEAUX,Regular Time,3-5,no,BORDEAUX
Playoffs,T2,28 mars 2026,,GRENOBLE - ANGERS,Regular Time,4-1,no,GRENOBLE
Playoffs,T2,31 mars 2026,,BORDEAUX - ROUEN,Extra Time,1-0,no,BORDEAUX
Playoffs,T2,31 mars 2026,,ANGERS - GRENOBLE,Regular Time,1-0,no,ANGERS
Playoffs,T2,1 avril 2026,,BORDEAUX - ROUEN,Regular Time,4-3,no,BORDEAUX
Playoffs,T2,1 avril 2026,,ANGERS - GRENOBLE,Regular Time,3-2,no,ANGERS
Playoffs,T2,4 avril 2026,,GRENOBLE - ANGERS,Regular Time,3-1,no,GRENOBLE
Playoffs,T2,6 avril 2026,,ANGERS - GRENOBLE,Regular Time,7-4,no,ANGERS
Playoffs,T2,8 avril 2026,,GRENOBLE - ANGERS,Regular Time,2-1,no,GRENOBLE
