date,match,team1,team2,draw,team1_extra,team2_extra
2025-05-09,Austria - Finland,7.25,1.23,6.75,3.4,1.05
2025-05-09,Denmark - USA,9.75,1.19,6.5,5.7,1.04
2025-05-09,Switzerland - Czechia,2.8,2.05,3.9,1.75,1.6
2025-05-09,Sweden - Slovakia,1.14,11.0,7.5,1.03,4
2025-05-10,Slovenia - Canada,35.0,1.01,19.0,30.0,1.01
2025-05-10,Norway - Kazakhstan,1.72,3.75,4.5,1.3,2.7
2025-05-10,France - Latvia,3.75,1.72,4.3,2.4,1.3
2025-05-10,Sweden - Austria,1.02,35,15,1.1,6.5
2025-05-10,Germany - Hungary,1.13,14.0,8.0,1.06,7.25
2025-05-10,Denmark - Switzerland,6.5,1.35,5.5,4.0,1.22
2025-05-11,Slovakia - Slovenia,1.38,5.75,5.0,1.2,3.4
2025-05-11,Latvia - Canada,1.13,13,7.75,5.5,1.05
2025-05-11,Finland - France,1.13,13,7.25,1.05,5.5
2025-05-11,USA - Hungary,1.01,35.0,13,1.02,7.75
2025-05-11,Germany - Kazakhstan,1.3,6.5,5.5,1.16,3.75
2025-05-11,Norway - Czechia,10,1.18,6.5,4.8,1.08
2025-05-12,Austria - Slovakia,3.75,1.65,4.3,2.5,1.2
2025-05-12,Finland - Sweden,4.5,1.55,4.75,3,1.3
2025-05-12,USA - Switzerland,1.72,4.25,3.5,1.2,2
2025-05-12,Czechia - Denmark,1.27,8.0,6.0,1.04,4
2025-05-13,Slovenia - Latvia,6.0,1.4,5.25,1.27,3.35
2025-05-13,Canada - France,1.02,28.0,17.0,1.01,11.5
2025-05-13,Norway - Germany,6.0,5.25,1.4,8.0,1.05
2025-05-13,Kazakhstan - Hungary,1.7,3.8,4.4,1.42,2.65
2025-05-14,Slovakia - France,1.35,5.75,5.25,1.19,3.5
2025-05-14,Latvia - Sweden,10.5,1.18,6.5,4.9,1.08
2025-05-14,USA - Norway,1.12,14,7.5,1.05,5.75
2025-05-14,Kazakhstan - Denmark,3.7,1.65,4.5,2.5,1.38
2025-05-15,Finland - Slovenia,1.09,20,9.25,1.04,8.75
2025-05-15,Canada - Austria,1.03,35,12,1.01,11
2025-05-15,Switzerland - Germany,1.6,4.2,4.6,1.35,2.95
2025-05-15,Czechia - Hungary,1.04,26,12,1.02,10.5
2025-05-16,Austria - France,1.95,2.9,4.2,1.55,2.1
2025-05-16,Sweden - Slovenia,1.02,40,11,1.01,7.5
2025-05-16,Hungary - Denmark,5.25,1.42,4.9,3.2,1.22
2025-05-16,Switzerland - Norway,1.19,9.75,6.5,1.09,4.8
2025-05-17,Finland - Latvia,1.42,5.25,4.9,1.3,4.75
2025-05-17,France - Sweden,25,1.02,13,20,1.01
2025-05-17,Canada - Slovakia,1.06,21,9.0,1.02,14
2025-05-17,USA - Germany,1.38,5.5,5,1.2,4.5
2025-05-17,Czechia - Kazakhstan,1.03,29,10,1.01,8.0
2025-05-17,Denmark - Norway,1.72,3.5,4.25,1.4,2.75
2025-05-18,Slovenia - Austria,6.25,1.32,5.25,3.2,1.15
2025-05-18,Slovakia - Latvia,2.35,2.4,3.9,1.7,1.9
2025-05-18,Kazakhstan - USA,24,1.03,12,15,1.01
2025-05-18,Hungary - Switzerland,35,1.02,11,20,1.01
2025-05-19,France - Slovenia,1.75,3.7,4.2,1.35,1.69
2025-05-19,Canada - Finland,1.25,8.5,6.25,1.12,4.5
2025-05-19,Germany - Czechia,5.0,1.48,5,3.5,1.2
2025-05-19,Hungary - Norway,5.5,5,1.42,3.5,1.18
2025-05-20,Latvia - Austria,1.82,2.88,4.2,1.4,2.0
2025-05-20,Slovakia - Finland,5.25,4.9,1.42,2.5,1.18
2025-05-20,Sweden - Canada,2.75,2.05,4.1,1.75,1.7
2025-05-20,Switzerland - Kazakhstan,1.03,30,10.5,,
2025-05-20,Czechia - USA,2.6,2.15,4.1,1.85,1.8
2025-05-20,Germany - Denmark,1.7,3.6,4.3,1.4,2.5
2025-05-22,Switzerland - Austria,1.15,11.5,3.6,1.08,6.5
2025-05-22,USA - Finland,1.72,3.5,4.25,1.45,2.55
2025-05-22,Sweden - Czechia,1.7,3.9,4.3,1.42,2.7
2025-05-22,Canada - Denmark,1.09,18,9.25,1.04,8.25
