leg,journee,date,hour,match,win_type,score,available,winner
Playoffs,2,17 mars 2026,,GAP - CERGY,Regular Time,2-3,no,CERGY
Playoffs,2,17 mars 2026,,CHAMONIX - ANGLET,Regular Time,5-3,no,CHAMONIX
Playoffs,3,20 mars 2026,,CERGY - ANGLET,Regular Time,1-3,no,ANGLET
Playoffs,3,24 mars 2026,,CHAMONIX - GAP,Regular Time,7-2,no,CHAMONIX
Playoffs,4,27 mars 2026,,GAP - CHAMONIX,Regular Time,1-2,no,CHAMONIX
Playoffs,4,27 mars 2026,,ANGLET - CERGY,Regular Time,2-3,no,CERGY
Playoffs,5,3 avril 2026,,GAP - ANGLET,Regular Time,4-5,no,ANGLET
Playoffs,5,3 avril 2026,,CHAMONIX - CERGY,Extra Time,3-4,no,CERGY
Playoffs,6,7 avril 2026,18:30,ANGLET - CHAMONIX,,,yes,
Playoffs,6,7 avril 2026,18:30,CERGY - GAP,,,yes,
