leg,journee,date,hour,match,win_type,score,available,winner
Playoffs,1,13 mars 2026,,CERGY - CHAMONIX,Regular Time,2-0,no,CERGY
Playoffs,1,13 mars 2026,,ANGLET - GAP,Regular Time,3-5,no,GAP
Playoffs,2,17 mars 2026,,GAP - CERGY,Regular Time,0-0,no,Draw
Playoffs,2,17 mars 2026,19:05,CHAMONIX - ANGLET,,,yes,
Playoffs,3,20 mars 2026,19:30,CERGY - ANGLET,,,yes,
Playoffs,3,24 mars 2026,19:05,CHAMONIX - GAP,,,yes,
Playoffs,4,27 mars 2026,19:00,GAP - CHAMONIX,,,yes,
Playoffs,4,27 mars 2026,19:30,ANGLET - CERGY,,,yes,
Playoffs,5,3 avril 2026,18:00,GAP - ANGLET,,,yes,
Playoffs,5,3 avril 2026,18:05,CHAMONIX - CERGY,,,yes,
Playoffs,6,7 avril 2026,18:30,ANGLET - CHAMONIX,,,yes,
Playoffs,6,7 avril 2026,18:30,CERGY - GAP,,,yes,
