leg,journee,date,match,win_type,score,available,winner
Second Leg,,15 mai 2026,Finland - Germany,Regular Time,3 - 1,no,Finland
Second Leg,,15 mai 2026,USA - Switzerland,Regular Time,1 - 3,no,Switzerland
Second Leg,,16 mai 2026,Austria - Hungary,Regular Time,2 - 5,no,Hungary
Second Leg,,16 mai 2026,Finland - Switzerland,Regular Time,1 - 4,no,Switzerland
Second Leg,,17 mai 2026,USA - Austria,Regular Time,1 - 5,no,Austria
Second Leg,,17 mai 2026,Hungary - Germany,Regular Time,4 - 2,no,Hungary
Second Leg,,18 mai 2026,Finland - USA,Regular Time,6 - 2,no,Finland
Second Leg,,18 mai 2026,Germany - Switzerland,Regular Time,1 - 6,no,Switzerland
Second Leg,,19 mai 2026,Latvia - Austria,Regular Time,1 - 3,no,Austria
Second Leg,,20 mai 2026,Austria - Switzerland,Regular Time,0 - 9,no,Switzerland
Second Leg,,20 mai 2026,USA - Germany,Extra Time,4 - 3,no,USA
Second Leg,,21 mai 2026,Latvia - Finland,Regular Time,1 - 7,no,Finland
Second Leg,,22 mai 2026,Germany - Hungary,Regular Time,6 - 2,no,Germany
Second Leg,,23 mai 2026,Latvia - USA,Regular Time,4 - 2,no,Latvia
Second Leg,,23 mai 2026,Switzerland - Hungary,Regular Time,9 - 0,no,Switzerland
Second Leg,,23 mai 2026,Austria - Germany,Regular Time,2 - 6,no,Germany
Second Leg,,24 mai 2026,Latvia - Finland,Regular Time,0 - 6,no,Finland
Second Leg,,25 mai 2026,USA - Hungary,Regular Time,7 - 3,no,USA
Second Leg,,26 mai 2026,Hungary - Latvia,Regular Time,1 - 8,no,Latvia
Second Leg,,26 mai 2026,USA - Austria,Regular Time,4 - 1,no,USA
Second Leg,,26 mai 2026,Switzerland - Finland,Regular Time,4 - 2,no,Switzerland
