leg,journee,date,match,win_type,score,available,winner
Second Leg,,9 mai 2025,Austria - Finland,Regular Time,1 - 2,no,Finland
Second Leg,,9 mai 2025,Sweden - Slovakia,Regular Time,5 - 0,no,Sweden
Second Leg,,10 mai 2025,Slovenia - Canada,Regular Time,0 - 4,no,Canada
Second Leg,,10 mai 2025,Sweden - Austria,Regular Time,4 - 2,no,Sweden
Second Leg,,10 mai 2025,France - Latvia,Regular Time,1 - 4,no,Latvia
Second Leg,,11 mai 2025,Slovakia - Slovenia,Regular Time,3 - 1,no,Slovakia
Second Leg,,11 mai 2025,Latvia - Canada,Regular Time,1 - 7,no,Canada
Second Leg,,11 mai 2025,Finland - France,Extra Time,4 - 3,no,Finland
Second Leg,,12 mai 2025,Austria - Slovakia,Extra Time,3 - 2,no,Austria
Second Leg,,12 mai 2025,Finland - Sweden,Regular Time,1 - 2,no,Sweden
Second Leg,,13 mai 2025,Slovenia - Latvia,Regular Time,2 - 5,no,Latvia
Second Leg,,13 mai 2025,Canada - France,Regular Time,5 - 0,no,Canada
Second Leg,,14 mai 2025,Slovakia - France,Regular Time,2 - 1,no,Slovakia
Second Leg,,14 mai 2025,Latvia - Sweden,Regular Time,0 - 6,no,Sweden
Second Leg,,15 mai 2025,Finland - Slovenia,Regular Time,9 - 1,no,Finland
Second Leg,,15 mai 2025,Canada - Austria,Regular Time,5 - 1,no,Canada
Second Leg,,16 mai 2025,Austria - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Sweden - Slovenia,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finland - Latvia,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Sweden,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovakia,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovenia - Austria,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovakia - Latvia,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovenia,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finland,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Latvia - Austria,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovakia - Finland,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Sweden - Canada,Regular Time,No Score,yes,
