leg,journee,date,match,win_type,score,available,winner
Second Leg,,9 mai 2025,Austria - Finland,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Sweden - Slovakia,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovenia - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Sweden - Austria,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Latvia,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovakia - Slovenia,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Latvia - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finland - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Austria - Slovakia,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finland - Sweden,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovenia - Latvia,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovakia - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Latvia - Sweden,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finland - Slovenia,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Austria,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Austria - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Sweden - Slovenia,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finland - Latvia,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Sweden,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovakia,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovenia - Austria,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovakia - Latvia,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovenia,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finland,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Latvia - Austria,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovakia - Finland,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Sweden - Canada,Regular Time,No Score,yes,
