leg,journee,date,hour,match,win_type,score,available,winner
Second Leg,,9 septembre 2025,Terminé,Ambri - Kloten,Regular Time,2 - 1,no,Ambri
Second Leg,,9 septembre 2025,Terminé,Davos - Lausanne,Regular Time,4 - 1,no,Davos
Second Leg,,9 septembre 2025,Terminé,Fribourg - Lugano,Extra Time,3 - 2,no,Fribourg
Second Leg,,9 septembre 2025,Terminé,Geneve - Ajoie,Regular Time,5 - 3,no,Geneve
Second Leg,,9 septembre 2025,Terminé,Rapperswil - Langnau,Regular Time,5 - 1,no,Rapperswil
Second Leg,,9 septembre 2025,Terminé,Zurich - Bienne,Regular Time,4 - 3,no,Zurich
Second Leg,,9 septembre 2025,Terminé,Zoug - Berne,Regular Time,3 - 0,no,Zoug
Second Leg,,11 septembre 2025,Terminé,Bienne - Davos,Regular Time,1 - 4,no,Davos
Second Leg,,12 septembre 2025,Terminé,Ajoie - Zurich,Regular Time,0 - 4,no,Zurich
Second Leg,,12 septembre 2025,Terminé,Berne - Geneve,Extra Time,2 - 1,no,Berne
Second Leg,,12 septembre 2025,Terminé,Kloten - Rapperswil,Regular Time,5 - 3,no,Kloten
Second Leg,,12 septembre 2025,Terminé,Lugano - Zoug,Regular Time,1 - 2,no,Zoug
Second Leg,,12 septembre 2025,Terminé,Lausanne - Fribourg,Regular Time,5 - 1,no,Lausanne
Second Leg,,12 septembre 2025,Terminé,Langnau - Ambri,Regular Time,3 - 2,no,Langnau
Second Leg,,13 septembre 2025,Terminé,Ambri - Lausanne,Regular Time,0 - 3,no,Lausanne
Second Leg,,13 septembre 2025,Terminé,Fribourg - Bienne,Regular Time,4 - 0,no,Fribourg
Second Leg,,13 septembre 2025,Terminé,Geneve - Kloten,Regular Time,4 - 2,no,Geneve
Second Leg,,13 septembre 2025,Terminé,Rapperswil - Berne,Regular Time,2 - 1,no,Rapperswil
Second Leg,,13 septembre 2025,Terminé,Zurich - Lugano,Regular Time,5 - 1,no,Zurich
Second Leg,,13 septembre 2025,Terminé,Zoug - Langnau,Extra Time,3 - 4,no,Langnau
Second Leg,,14 septembre 2025,Terminé,Davos - Ajoie,Regular Time,6 - 0,no,Davos
Second Leg,,16 septembre 2025,Terminé,Ajoie - Rapperswil,Regular Time,2 - 4,no,Rapperswil
Second Leg,,16 septembre 2025,Terminé,Berne - Ambri,Regular Time,3 - 1,no,Berne
Second Leg,,16 septembre 2025,Terminé,Bienne - Lugano,Extra Time,3 - 2,no,Bienne
Second Leg,,16 septembre 2025,Terminé,Davos - Kloten,Regular Time,4 - 2,no,Davos
Second Leg,,16 septembre 2025,Terminé,Lausanne - Geneve,Regular Time,11 - 0,no,Lausanne
Second Leg,,16 septembre 2025,Terminé,Langnau - Zurich,Regular Time,2 - 1,no,Langnau
Second Leg,,16 septembre 2025,Terminé,Zoug - Fribourg,Extra Time,4 - 5,no,Fribourg
Second Leg,,18 septembre 2025,Terminé,Geneve - Fribourg,Regular Time,3 - 2,no,Geneve
Second Leg,,19 septembre 2025,Terminé,Ambri - Zurich,Regular Time,2 - 5,no,Zurich
Second Leg,,19 septembre 2025,Terminé,Kloten - Zoug,Regular Time,2 - 5,no,Zoug
Second Leg,,19 septembre 2025,Terminé,Lugano - Ajoie,Regular Time,2 - 0,no,Lugano
Second Leg,,19 septembre 2025,Terminé,Rapperswil - Lausanne,Regular Time,0 - 4,no,Lausanne
Second Leg,,19 septembre 2025,Terminé,Langnau - Davos,Regular Time,3 - 4,no,Davos
Second Leg,,20 septembre 2025,Terminé,Bienne - Ambri,Extra Time,3 - 2,no,Bienne
